"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Duckworth, C. G., Picariello, C. R., Thomason, R. K., Patel, K. S., & Bielmyer-Fraser, G. K., 2017. Responses of the sea anemone, Exaiptasia pallida, to ocean acidification conditions and zinc or nickel exposure. Aquatic Toxicology 120-128","doi:10.1016/j.aquatox.2016.11.014","","Not included","No answer from authors","USA","2017"
"Dupont, S., & Thorndyke, M., 2012. Relationship between CO2-driven changes in extracellular acid–base balance and cellular immune response in two polar echinoderm species. Journal of Experimental Marine Biology and Ecology 424-425:32-37","doi:10.1016/j.jembe.2012.05.007","","Not included","No answer from authors","EU-Sweden","2012"
"Dutra, E., Koch, M., Peach, K., & Manfrino, C., 2016. Tropical crustose coralline algal individual and community responses to elevated CO2 under high and low irradiance. ICES Journal of Marine Science 73:803-813","doi:10.1093/icesjms/fsv213","","Not included","No answer from authors","USA","2016"
"Dworjanyn, S. A., & Byrne, M., 2018. Impacts of ocean acidification on sea urchin growth across the juvenile to mature adult life-stage transition is mitigated by warming. Proceedings of the Royal Society B: Biological Sciences 285:20172684","doi:10.1098/rspb.2017.2684","","Not included","No answer from authors","Australia","2018"
"Eberlein, T., Wohlrab, S., Rost, B., John, U., Bach, L. T., Riebesell, U. et al., 2017. Effects of ocean acidification on primary production in a coastal North Sea phytoplankton community. PLoS ONE 12:e0172594","doi:10.1371/journal.pone.0172594","","Not included","No answer from authors","EU-Germany","2017"
"Edmunds, P. J., & Wall, C. B., 2014. Evidence that high pCO2 affects protein metabolism in tropical reef corals. The Biological Bulletin 227:68-77","doi:10.1086/BBLv227n1p68","","Not included","No answer from authors","USA","2014"
"Edmunds, P. J., & Yarid, A., 2017. The effects of ocean acidification on wound repair in the coral Porites spp. Journal of Experimental Marine Biology and Ecology 486:98-104","doi:10.1016/j.jembe.2016.10.001","","Not included","No answer from authors","USA","2017"
"Egea, L. G., Jiménez-Ramos, R., Hernández, I., Bouma, T. J., & Brun, F. G., 2018. Effects of ocean acidification and hydrodynamic conditions on carbon metabolism and dissolved organic carbon (DOC) fluxes in seagrass populations. PLoS ONE 13:e0192402","doi:10.1371/journal.pone.0192402","","Not included","No answer from authors","EU-Spain","2018"
"Egea, L. G., Jiménez-Ramos, R., Vergara, J. J., Hernández, I., & Brun, F. G., 2018. Interactive effect of temperature, acidification and ammonium enrichment on the seagrass Cymodocea nodosa. Marine Pollution Bulletin 134:14-26","doi:10.1016/j.marpolbul.2018.02.029","","Not included","No answer from authors","EU-Spain","2018"
"Eggers, S. L., Lewandowska, A. M., Barcelos e Ramos, J., Blanco-Ameijeiras, S., Gallo, F., & Matthiessen, B., 2014. Community composition has greater impact on the functioning of marine phytoplankton communities than ocean acidification. Global Change Biology 20:713-723","doi:10.1111/gcb.12421","","Not included","No answer from authors","EU-Germany","2014"
"Egilsdottir, H., Spicer, J. I., & Rundle, S. D., 2009. The effect of CO2 acidified sea water and reduced salinity on aspects of the embryonic development of the amphipod Echinogammarus marinus (Leach). Marine Pollution Bulletin 56:1187-1191","doi:10.1016/j.marpolbul.2009.03.017","","Not included","No answer from authors","EU-UK","2009"
"Eklöf, J. S., Alsterberg, C., Havenhand, J. N., Sundbäck, K., Wood, H. L., & Gamfeldt, L., 2012. Experimental climate change weakens the insurance effect of biodiversity. Ecology Letters 15:864-872","doi:10.1111/j.1461-0248.2012.01810.x","","Not included","No answer from authors","EU-Sweden","2012"
"Eklöf, J. S., Havenhand, J. N., Alsterberg, C., & Gamfeldt, L., 2015. Community-level effects of rapid experimental warming and consumer loss outweigh effects of rapid ocean acidification. Oikos 124:1040-1049","doi:10.1111/oik.01544","","Not included","No answer from authors","EU-Sweden","2015"
"El-Sayed, H. S., Elshobary, M. E., Barakat, K. M., Khairy, H. M., El-Sheikh, M. A., Czaja, R. et al., 2022. Ocean acidification induced changes in Ulva fasciata biochemistry may improve Dicentrarchus labrax aquaculture via enhanced antimicrobial activity. Aquaculture 560:738474","doi:10.1016/j.aquaculture.2022.738474","","Not included","No answer from authors","Egypt","2022"
"Elsadin, S., Nixon, O., Mozes, N., Allon, G., Gaon, A., Tandler, A. et al., 2019. The effect of dissolved carbon dioxide (CO2) on the bone mineral content and on the expression of bone-Gla protein (BGP, Osteocalcin) in the vertebral column of white grouper (Epinephelus aeneus). Aquaculture 511:634196","doi:10.1016/j.aquaculture.2019.06.010","","Not included","No answer from authors","Israel","2019"
"Endres, S., Galgani, L., Riebesell, U., Schulz, K. G., & Engel, A., 2014. Stimulated bacterial growth under elevated pCO2: results from an off-shore mesocosm study. PLoS ONE 9:e99228","doi:10.1371/journal.pone.0099228","","Not included","No answer from authors","EU-Germany","2014"
"Engel, A., Piontek, J., Grossart, H.-P., Riebesell, U., Schulz, K. G., & Sperling, M., 2014. Impact of CO2 enrichment on organic matter dynamics during nutrient induced coastal phytoplankton blooms. Journal of Plankton Research 36:641-657","doi:10.1093/plankt/fbt125","","Not included","No answer from authors","EU-Germany","2014"
"Engström-Öst, J., Glippa, O., Feely, R. A., Kanerva, M., Keister, J. E., Alin, S. R. et al., 2019. Eco-physiological responses of copepods and pteropods to ocean warming and acidification. Scientific Reports 9:4748","doi:10.1038/s41598-019-41213-1","","Not included","No answer from authors","EU-Finland","2019"
"Engström-Öst, J., Holmborn, T., Brutemark, A., Hogfors, H., Vehmaa, A., & Gorokhova, E., 2014. The effects of short-term pH decrease on the reproductive output of the copepod – a laboratory study. Marine and Freshwater Behaviour and Physiology 47:173-183","doi:10.1080/10236244.2014.919096","","Not included","No answer from authors","EU-Finland","2014"
"Enochs, I. C., Manzello, D. P., Carlton, R. D., Graham, D. M., Ruzicka, R., & Colella, M. A., 2015. Ocean acidification enhances the bioerosion of a common coral reef sponge: implications for the persistence of the Florida Reef Tract. Bulletin of Marine Science 91:271-290","doi:10.5343/bms.2014.1045","","Not included","No answer from authors","USA","2015"
"Enochs, I. C., Manzello, D. P., Jones, P. J., Aguilar, C., Cohen, K., Valentino, L. et al., 2018. The influence of diel carbonate chemistry fluctuations on the calcification rate of Acropora cervicornis under present day and future acidification conditions. Journal of Experimental Marine Biology and Ecology 506:135-143","doi:10.1016/j.jembe.2018.06.007","","Not included","No answer from authors","USA","2018"
"Enochs, I. C., Manzello, D. P., Kolodziej, G., Noonan, S. H. C., Valentino, L., & Fabricius, K. E., 2016. Enhanced macroboring and depressed calcification drive net dissolution at high-CO2 coral reefs. Proceedings of the Royal Society B: Biological Sciences 283:20161742","doi:10.1098/rspb.2016.1742","","Not included","No answer from authors","USA","2016"
"Enzor, L. A., Hankins, C., Hamilton-Frazier, M., Moso, E., Raimondo, S., & Barron, M. G., 2020. Elevated pCO2 and hypoxia alter the acid-base regulation of developing sheepshead minnows Cyprinodon variegatus. Marine Ecology Progress Series 636:157-168","doi:10.3354/meps13220","","Not included","No answer from authors","USA","2020"
"Enzor, L. A., Hunter, E. M., & Place, S. P., 2017. The effects of elevated temperature and ocean acidification on the metabolic pathways of notothenioid fish. Conservation Physiology 5:cox019","doi:10.1093/conphys/cox019","","Not included","No answer from authors","USA","2017"
"Enzor, L. A., & Place, S. P., 2014. Is warmer better? Decreased oxidative damage in notothenioid fish after long-term acclimation to multiple stressors. The Journal of Experimental Biology 217:3301-3310","doi:10.1242/​jeb.108431","","Not included","No answer from authors","USA","2014"
"Enzor, L. A., Zippay, M. L., & Place, S. P., 2013. High latitude fish in a high CO2 world: synergistic effects of elevated temperature and carbon dioxide on the metabolic rates of Antarctic notothenioids. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 164:154-161","doi:10.1016/j.cbpa.2012.07.016","","Not included","No answer from authors","USA","2013"
"Eriander, L., Wrange, A.-L., & Havenhand, J. N., 2016. Simulated diurnal pH fluctuations radically increase in—but not the of—growth in the barnacle. ICES Journal of Marine Science 73:593-603","doi:10.1093/icesjms/fsv214","","Not included","No answer from authors","EU-Sweden","2016"
"Ericson, J. A., Hellessey, N., Kawaguchi, S., Nicol, S., Nichols, P. D., Hoem, N. et al., 2018. Adult Antarctic krill proves resilient in a simulated high CO2 ocean. Communications Biology 1:190","doi:10.1038/s42003-018-0195-3","","Not included","No answer from authors","Australia","2018"
"Ericson, J. A., Ho, M. A., Miskelly, A., King, C. K., Virtue, P., Tilbrook, B. et al., 2012. Combined effects of two ocean change stressors, warming and acidification, on fertilization and early development of the Antarctic echinoid Sterechinus neumayeri. Polar Biology 35:1027-1034","doi:10.1007/s00300-011-1150-7","","Not included","No answer from authors","Australia","2012"
"Ericson, J. A., Lamare, M. D., Morley, S. A., & Barker, M. F., 2010. The response of two ecologically important Antarctic invertebrates (Sterechinus neumayeri and Parborlasia corrugatus) to reduced seawater pH: effects on fertilisation and embryonic development. Marine Biology 157:2689-2702","doi:10.1007/s00227-010-1529-y","","Not included","No answer from authors","New Zealand","2010"
"Ericson, J. A., & Ragg, N. L. C., 2021. Effects of crushed mussel, Perna canaliculus, shell enrichment on seawater carbonate buffering and development of conspecific larvae exposed to near‐future ocean acidification. Journal of the World Aquaculture Society 1-19","doi:10.1111/jwas.12779","","Not included","No answer from authors","New Zealand","2021"
"Errera, R. M., Yvon-Lewis, S., Kessler, J. D., & Campbell, L., 2014. Responses of the dinoflagellate Karenia brevis to climate change: pCO2 and sea surface temperatures. Harmful Algae 37:110-116","doi:10.1016/j.hal.2014.05.012","","Not included","No answer from authors","USA","2014"
"Esbaugh, A. J., Ern, R., Nordi, W. M., & Johnson, A. S., 2016. Respiratory plasticity is insufficient to alleviate blood acid-base disturbances after acclimation to ocean acidification in the estuarine red drum, Sciaenops ocellatus. Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology 186:97-109","doi:10.1007/s00360-015-0940-6","","Not included","No answer from authors","USA","2016"
"Esbaugh, A. J., Heuer, R., & Grosell, M., 2012. Impacts of ocean acidification on respiratory gas exchange and acid–base balance in a marine teleost, Opsanus beta. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 182:921-934","doi:10.1007/s00360-012-0668-5","","Not included","No answer from authors","USA","2012"
"Esbaugh, A. J., Mager, E. M., Brix, K. V., Santore, R., & Grosell, M., 2013. Implications of pH manipulation methods for metal toxicity: not all acidic environments are created equal. Aquatic Toxicology 130-131:27-30","doi:10.1016/j.aquatox.2012.12.012","","Not included","No answer from authors","USA","2013"
"Espinel-Velasco, N., Lamare, M., Kluibenschedl, A., Moss, G., & Cummings, V., 2020. Ocean acidification induces carry-over effects on the larval settlement of the New Zealand abalone, Haliotis iris. ICES Journal of Marine Science fsaa086","doi:10.1093/icesjms/fsaa086","","Not included","No answer from authors","New Zealand","2020"
"Espinel-Velasco, N., Tobias-Hünefeldt, S. P., Karelitz, S., Hoffmann, L. J., Morales, S. E., & Lamare, M. D., 2021. Reduced seawater pH alters marine biofilms with impacts for marine polychaete larval settlement. Marine Environmental Research 167:105291","doi:10.1016/j.marenvres.2021.105291","","Not included","No answer from authors","EU-Norway","2021"
"Esposito, M. C., Boni, R., Cuccaro, A., Tosti, E., & Gallo, A., 2020. Sperm motility impairment in free spawning invertebrates under near-future level of ocean acidification: uncovering the mechanism. Frontiers in Marine Science 6:794","doi:10.3389/fmars.2019.00794","","Not included","No answer from authors","EU-Italy","2020"
"Esposito, V., Auriemma, R., De Vittor, C., Relitti, F., Urbini, L., Kralj, M. et al., 2022. Structural and functional analyses of motile fauna associated with Cystoseira brachycarpa along a gradient of ocean acidification in a CO2-vent system off Panarea (Aeolian Islands, Italy). Journal of Marine Science and Engineering 10:451","doi:10.3390/jmse10040451","","Not included","No answer from authors","EU-Italy","2022"
"Esteves, A. M., Souza, T. P., Sarmento, V. C., Maria, T. F., & Santos, P. J. P., 2022. Effects of the ocean acidification on the functional structure of coral reef nematodes. Coral Reefs 41:pages 1481-1494","doi:10.1007/s00338-022-02296-x","","Not included","No answer from authors","Brazil","2022"
"Eyre, B. D., Cyronak, T., Drupp, P., De Carlo, E. H., Sachs, J. P., & Andersson, A. J., 2018. Coral reefs will transition to net dissolving before end of century. Science 359:908-911","doi:10.1126/science.aao1118","","Not included","No answer from authors","Australia","2018"
"Fabricius, K. E., De’ath, G., Noonan, S., & Uthicke, S., 2013. Ecological effects of ocean acidification and habitat complexity on reef-associated macroinvertebrate communities. Proceedings of the Royal Society B: Biological Sciences 281:20132479","doi:10.1098/rspb.2013.2479","","Not included","No answer from authors","Australia","2013"
